"countries" "total_ventes_pays2011" "total_ventes_pays2012" "total_ventes_pays2013" "total_ventes_pays2014" "total_ventes_pays2015" "total_ventes_pays2016" "total_ventes_pays2017" "total_ventes_pays2018" "total_ventes_pays2019" "total_ventes_pays2020" "total_ventes_pays2021"
"1" "Allemagne" NA 520.9 835.5 550.85 2903.35 4529.65 5511.49 13306.78 5837.08 124661.53 359703.45
"2" "Autriche" NA NA NA NA 439.49 2356.24 2284.13 1874.65 1767.09 37119.29 124419.97
"3" "Belgique" 619 11406.09 13580.92 28441.34 87605.16 156399 231943.31 289091.78 374726.73 500527 431976.34
"4" "Danemark" NA NA NA NA NA 663.33 329.02 261.5 415.64 552.71 2949.44
"5" "Eire" NA NA NA 45.29 142.1 5936.31 3294.86 2717.1 2936.85 5664.44 7464.47
"6" "Espagne" NA 663.97 6092.72 19219.08 329687 580515.4 885091.73 1059648.36 1177525.5 1640643.17 1595737.11
"7" "Finlande" NA NA NA NA NA NA 1285.54 638.89 521.26 857.65 2046.87
"8" "France" 189569.15 1428755.83 2421092.48 3618929.65 5163940.91 6979563.5 8928979.71 10108941.35 9780905.81 11566551.07 10352167.62
"9" "Italie" 242.85 297 1287.15 1408.62 135771.78 457103.31 626836.74 845629.32 976611.75 1317473.49 1413399.72
"10" "Luxembourg" NA 260.11 1551.38 1558.5 4032.37 6961.69 15253.86 14101.21 12241.66 17931.68 18061.15
"11" "Norvège" NA NA NA NA NA 274.03 NA 418.08 71.53 434.2 798.38
"12" "Pays-bas" NA NA NA 24.85 237.55 3509.29 1063.11 3368.59 2544.2 4684.46 6933.43
"13" "Polonia" NA NA NA NA NA NA 1067.63 988.9 3355.8 619.93 2152
"14" "Portugal" NA NA NA NA NA 561.55 2820.77 6311.99 7661.69 12047.41 15366.33
"15" "République Tchèque" NA NA NA NA NA 252 2140.3 1386.93 1462.26 963.78 2629.18
"16" "Royaume-Uni" NA 160.65 2050.8 1743.77 3174.64 9996.4 30664.8 28197.58 24468.58 24705.55 26191.44
"17" "Slovénie" NA NA NA NA NA 4680.61 5430.65 6743.9 10638.61 15761.2 15940.48
"18" "Slovaquie" NA NA NA NA NA 624.65 557.71 515.75 1053.81 1495.54 2977.79
"19" "Suède" NA NA NA NA NA 512.84 811.09 1137.02 913.2 726.19 531.04
"20" "Suisse" 320.33 3557.01 3827.1 8474 13812.38 20827.82 32282.83 28205.35 28840.03 41794.83 45137.64
"21" NA NA NA NA NA NA 60 NA NA NA NA NA
