version,TotalEventParPays,countries
it,286,Albanie
fr,1839,Espagne
de,12025,Autriche
it,12025,Autriche
en,46722,Belgique
es,46722,Belgique
fr,46722,Belgique
gb,46722,Belgique
fr,90,Cameroun
en,1122526,France
es,1122526,France
fr,1122526,France
it,1122526,France
fr,556,France
fr,935,France
de,45625,Allemagne
fr,45625,Allemagne
fr,598,Grèce
fr,2112,France
fr,744,Hongrie
en,683,Eire
es,683,Eire
fr,229494,Italie
it,229494,Italie
fr,2168,Luxembourg
fr,1591,France
fr,171,France
fr,590,France
es,1716,Maroc
fr,1716,Maroc
fr,2667,Pays-bas
fr,467,France
en,2712,Portugal
es,2712,Portugal
fr,2712,Portugal
fr,6031,France
it,183,France
fr,282,Sénegal
it,206,Serbie
fr,306,Slovaquie
de,1340,Slovénie
en,1340,Slovénie
it,1340,Slovénie
en,254721,Espagne
es,254721,Espagne
fr,254721,Espagne
it,254721,Espagne
fr,137,France
fr,172,France
de,12249,Suisse
es,12249,Suisse
fr,12249,Suisse
fr,452,Emirats arabes unis
es,9396,Royaume-Uni
fr,9396,Royaume-Uni
gb,9396,Royaume-Uni
fr,9766,Etats-Unis
